Global_Time,Vehicle_ID,Lane_ID,Global_X,Global_Y,v_Vel,v_Acc,yaw,v_Length,v_Width,v_Height,CAV,Detected,Local_Y
1,589.0,1.0,-356.312,26.515,30.445972817215644,-0.6174733912670618,-0.35,4.902,2.128,1.511,1.0,1.0,1.2311232105128487
2,589.0,1.0,-325.866,26.515,29.828499425948582,-0.9147241280847975,0.117,4.902,2.128,1.511,1.0,1.0,31.677096027728492
3,589.0,1.0,-296.655,26.554,28.61652456104605,-1.2032382354925808,0.1,4.902,2.128,1.511,1.0,1.0,60.88812206241001
4,589.0,1.0,-268.633,26.59,27.42202295496342,-1.2122505880267234,0.0,4.902,2.128,1.511,1.0,1.0,88.9101451498206
5,589.0,1.0,-241.811,26.625,26.192023384992602,-1.2557495469807112,0.117,4.902,2.128,1.511,1.0,1.0,115.73216797233685
6,589.0,1.0,-216.249,26.66,24.910523861001998,-1.2457505581172619,0.0,4.902,2.128,1.511,1.0,1.0,141.2941919198058
7,589.0,1.0,-191.99,26.694,23.70052226875808,-1.1147516772849748,0.102,4.902,2.128,1.511,1.0,1.0,165.55321569434085
8,589.0,1.0,-168.848,26.725,22.68102050643205,-0.9392511658359055,0.117,4.902,2.128,1.511,1.0,1.0,188.69523645732195
9,589.0,1.0,-146.628,26.755,21.822019937086267,-0.6400004308038234,0.117,4.902,2.128,1.511,1.0,1.0,210.91525670720495
10,589.0,1.0,-125.204,26.784,21.4010196448244,0.11125023474325957,0.089,4.902,2.128,1.511,1.0,1.0,232.3392763314945
11,589.0,1.0,-103.826,26.813,22.044520406572786,0.4604992547871376,0.068,4.902,2.128,1.511,1.0,1.0,253.71729599685375
12,589.0,1.0,-81.115,26.844,22.322018154398677,-0.2782410657673182,0.08,4.902,2.128,1.511,1.0,1.0,276.42831714464006
13,589.0,1.0,-59.182,26.87,21.48803827503815,-0.8492208458699793,0.0,4.902,2.128,1.511,1.0,1.0,298.3613323056511
14,589.0,1.0,-38.139,26.93,20.62357646265872,-0.8517245184018662,0.234,4.902,2.128,1.511,1.0,1.0,319.40439369471636
15,589.0,1.0,-17.935,27.012,19.784589238234418,-0.8562455607593336,0.229,4.902,2.128,1.511,1.0,1.0,339.60848523096854
16,589.0,1.0,1.43,27.09,18.91108534114005,-0.9247525150595948,0.234,4.902,2.128,1.511,1.0,1.0,358.9735721711852
17,589.0,1.0,19.887,27.165,17.935084208115228,-0.9005048751965887,0.229,4.902,2.128,1.511,1.0,1.0,377.43065591324864
18,589.0,1.0,37.3,27.24,17.110075590746874,-0.5640088503942451,0.234,4.902,2.128,1.511,1.0,1.0,394.84374058741565
19,589.0,1.0,54.107,27.301,16.807066507326738,-0.303009083420136,0.231,4.902,2.128,1.511,1.0,1.0,411.6508070947424
2,591.0,4.0,-340.524,36.995,27.95502181095171,-0.7619993196714709,0.156,3.633,1.845,1.501,0.0,1.0,17.03311330589413
3,591.0,4.0,-312.569,37.03,27.19302249128024,-1.0232490864223767,0.0,3.633,1.845,1.501,0.0,1.0,44.98813511684584
4,591.0,4.0,-286.138,37.065,25.908523638106956,-1.1097490091935036,0.156,3.633,1.845,1.501,0.0,1.0,71.41915828845461
5,591.0,4.0,-260.752,37.1,24.97352447289323,-0.8597509027456063,0.0,3.633,1.845,1.501,0.0,1.0,96.80518239305975
6,591.0,4.0,-236.191,37.135,24.189021832615744,-0.7697526534466022,0.146,3.633,1.845,1.501,0.0,0.0,121.36620723424107
7,591.0,4.0,-212.374,37.165,23.434019166000027,-0.7800009739479954,0.156,3.633,1.845,1.501,0.0,0.0,145.18322605829124
8,591.0,4.0,-189.323,37.195,22.629019884719753,-0.7582493230195695,0.156,3.633,1.845,1.501,0.0,0.0,168.23424556624113
9,591.0,4.0,-167.116,37.225,21.91752051996089,-0.596999466986702,0.156,3.633,1.845,1.501,0.0,1.0,190.44126582773075
10,591.0,4.0,-145.488,37.255,21.43502095074635,-0.4330002815480185,0.156,3.633,1.845,1.501,0.0,1.0,212.0692866061629
11,591.0,4.0,-124.246,37.285,21.05151995686485,-0.4077509722306374,0.156,3.633,1.845,1.501,0.0,0.0,233.31130772922344
12,591.0,4.0,-103.385,37.313,20.619519006285074,-0.5280015330079664,0.08,3.633,1.845,1.501,0.0,0.0,254.1723265198926
13,591.0,4.0,-83.007,37.341,19.99551689084892,-0.7102466933192986,0.08,3.633,1.845,1.501,0.0,0.0,274.5503457417936
14,591.0,4.0,-63.394,37.365,19.199025619646477,-0.7552282793228429,0.156,3.633,1.845,1.501,0.0,0.0,294.16336030159044
15,591.0,4.0,-44.609,37.405,18.485060332203233,-0.6162220561053147,0.165,3.633,1.845,1.501,0.0,0.0,312.94839698108655
16,591.0,4.0,-26.424,37.48,17.966581507435848,-0.4487412476110819,0.312,3.633,1.845,1.501,0.0,0.0,331.1334809659969
17,591.0,4.0,-8.676,37.551,17.58757783698107,-0.32650171291109586,0.268,3.633,1.845,1.501,0.0,1.0,348.88155999595824
18,591.0,4.0,8.751,37.62,17.313578081613656,-0.13424988013895245,0.312,3.633,1.845,1.501,0.0,1.0,366.30863663995905
19,591.0,4.0,25.951,37.691,17.319078076703164,0.10425090913190616,0.268,3.633,1.845,1.501,0.0,1.0,383.50871615918555
20,591.0,4.0,43.389,37.76,17.52207989987747,0.1435025444359752,0.312,3.633,1.845,1.501,0.0,0.0,400.9467927933654
21,591.0,4.0,60.995,37.834,17.606083165575114,0.08400326569764616,0.186,3.633,1.845,1.501,0.0,0.0,418.5528759589405
2,592.0,2.0,-338.755,29.995,27.731028692332238,-0.015503994994663373,0.072,7.936,2.891,3.462,0.0,1.0,18.792757781981486
3,592.0,2.0,-311.024,30.035,27.715524697337575,-0.017753324846921714,0.072,7.936,2.891,3.462,0.0,1.0,46.523786474313724
4,592.0,2.0,-283.324,30.069,27.695522042638395,-0.015499318022401454,0.127,7.936,2.891,3.462,0.0,1.0,74.22380717665663
5,592.0,2.0,-255.633,30.105,27.68452606129277,-0.010496649930917812,0.072,7.936,2.891,3.462,0.0,1.0,101.91483055959051
6,592.0,2.0,-227.955,30.145,27.67452874277656,-0.007501997720531506,0.072,7.936,2.891,3.462,0.0,1.0,129.59285929924218
7,592.0,2.0,-200.284,30.185,27.66952206585171,-0.3277530480728714,0.072,7.936,2.891,3.462,0.0,1.0,157.26388804514363
8,592.0,2.0,-172.616,30.215,27.019022646630816,-1.788998402745797,0.072,7.936,2.891,3.462,0.0,1.0,184.9319034309456
9,592.0,2.0,-146.246,30.255,24.091525260360115,-3.1885028324254066,0.072,7.936,2.891,3.462,0.0,1.0,211.30193333840526
10,592.0,2.0,-124.433,30.285,20.642016981780003,-2.4395038352167333,0.072,7.936,2.891,3.462,0.0,1.0,233.11495395166583
11,592.0,2.0,-104.962,30.308,19.212517589926648,-0.9584998123713575,0.118,7.936,2.891,3.462,0.0,1.0,252.58596730196527
12,592.0,2.0,-86.008,30.337,18.725017357037288,-0.4447492688490513,0.08,7.936,2.891,3.462,0.0,1.0,271.5399891315191
13,592.0,2.0,-67.512,30.359,18.323019052228545,-0.36623463987971405,0.026,7.936,2.891,3.462,0.0,1.0,290.03600201603984
14,592.0,2.0,-49.362,30.39,17.99254807727786,-0.3252209796379901,0.144,7.936,2.891,3.462,0.0,1.0,308.1860272359762
15,592.0,2.0,-31.527,30.455,17.672577092952565,-0.30523469434172057,0.217,7.936,2.891,3.462,0.0,1.0,326.02109817059556
16,592.0,2.0,-14.017,30.529,17.38207868859442,-0.24400011622148554,0.268,7.936,2.891,3.462,0.0,1.0,343.53118142188134
17,592.0,2.0,3.237,30.596,17.184576860509594,-0.15950052573418816,0.218,7.936,2.891,3.462,0.0,1.0,360.7852555477844
18,592.0,2.0,20.352,30.667,17.063077637126042,0.052000955781721814,0.249,7.936,2.891,3.462,0.0,1.0,377.90033514290053
19,592.0,2.0,37.363,30.735,17.288578772073038,0.25150211394203836,0.217,7.936,2.891,3.462,0.0,1.0,394.9114108220365
20,592.0,2.0,54.929,30.808,17.56608186501012,0.2775030929370814,0.253,7.936,2.891,3.462,0.0,0.0,412.4774926870466
4,597.0,3.0,-333.594,33.504,26.255019319911607,-0.017995306956979817,0.093,4.902,2.128,1.511,0.0,0.0,23.95844217289724
5,597.0,3.0,-307.339,33.536,26.237024012954627,-0.016996978197036938,0.09,4.902,2.128,1.511,0.0,0.0,50.21346149280885
6,597.0,3.0,-281.12,33.575,26.221025363517533,-0.011250324025233738,0.117,4.902,2.128,1.511,0.0,1.0,76.43249019880649
7,597.0,3.0,-254.897,33.609,26.21452336490416,-0.01350165829417449,0.017,4.902,2.128,1.511,0.0,1.0,102.65551221984391
8,597.0,3.0,-228.691,33.645,26.194022046929184,-0.1479998678627048,0.117,4.902,2.128,1.511,0.0,1.0,128.8615369286148
9,597.0,3.0,-202.509,33.677,25.91852362917875,-0.4854995665361095,0.066,4.902,2.128,1.511,0.0,1.0,155.04355631370228
10,597.0,3.0,-176.854,33.715,25.223022913856965,-0.78525263960789,0.117,4.902,2.128,1.511,0.0,1.0,180.6985841869723
11,597.0,3.0,-152.063,33.745,24.34801834996297,-0.9009998637084635,0.117,4.902,2.128,1.511,0.0,1.0,205.4896021414162
12,597.0,3.0,-128.158,33.775,23.42102318644004,-1.0077470958444223,0.117,4.902,2.128,1.511,0.0,1.0,229.39462088689825
13,597.0,3.0,-105.221,33.811,22.332524158274126,-1.0750030490523343,0.061,4.902,2.128,1.511,0.0,1.0,252.3316485142963
14,597.0,3.0,-83.493,33.841,21.27101708833537,-0.9462471507528178,0.08,4.902,2.128,1.511,0.0,0.0,274.0596692034465
15,597.0,3.0,-62.679,33.865,20.44002985676849,-0.7599756025264028,0.117,4.902,2.128,1.511,0.0,0.0,294.87368269096703
16,597.0,3.0,-42.613,33.913,19.751065883282564,-0.630221041397462,0.229,4.902,2.128,1.511,0.0,0.0,314.9397289169835
17,597.0,3.0,-23.177,33.99,19.179587773973566,-0.5207411833280133,0.234,4.902,2.128,1.511,0.0,0.0,334.37581445753216
18,597.0,3.0,-4.254,34.07,18.709583516626537,-0.34400203135619734,0.234,4.902,2.128,1.511,0.0,0.0,353.2989044649306
19,597.0,3.0,14.242,34.14,18.49158371126117,-0.12649921891946292,0.234,4.902,2.128,1.511,0.0,0.0,371.79498149078523
20,597.0,3.0,32.729,34.22,18.45658507878761,-0.03275197517683637,0.234,4.902,2.128,1.511,0.0,0.0,390.28207188745296
21,597.0,3.0,51.155,34.292,18.4260797609075,-0.030505317880113125,0.231,4.902,2.128,1.511,0.0,0.0,408.70815164836046
4,598.0,1.0,-331.104,26.505,30.465026251363536,-0.7149993616339891,0.117,4.902,2.128,1.511,0.0,1.0,26.43908734153948
5,598.0,1.0,-300.639,26.545,29.750026889729547,-1.0807490350852458,0.117,4.902,2.128,1.511,0.0,1.0,56.904113592903016
6,598.0,1.0,-271.604,26.585,28.303528181193045,-1.4192520735603082,0.117,4.902,2.128,1.511,0.0,1.0,85.93914112099857
7,598.0,1.0,-244.032,26.625,26.91152274260893,-1.3155035024681219,0.117,4.902,2.128,1.511,0.0,0.0,113.5111699552891
8,598.0,1.0,-217.781,26.655,25.6725211762568,-1.166498958525974,0.106,4.902,2.128,1.511,0.0,1.0,139.76218660621643
9,598.0,1.0,-192.687,26.691,24.578524825556983,-0.933999834245423,0.021,4.902,2.128,1.511,0.0,1.0,164.8562123078027
10,598.0,1.0,-168.624,26.725,23.804521507765955,-0.32200238506768386,0.117,4.902,2.128,1.511,0.0,1.0,188.9192362573304
11,598.0,1.0,-145.078,26.755,23.934520055421615,0.057750950648014054,0.117,4.902,2.128,1.511,0.0,1.0,212.46525532333462
12,598.0,1.0,-120.755,26.787,23.920023409061983,-0.44624826530147743,0.081,4.902,2.128,1.511,0.0,1.0,236.78827636817363
13,598.0,1.0,-97.238,26.822,23.04202352481866,-0.9022522010785892,0.08,4.902,2.128,1.511,0.0,1.0,260.3053021414586
14,598.0,1.0,-74.671,26.853,22.115519006904805,-0.9134861557009089,0.08,4.902,2.128,1.511,0.0,1.0,282.87232341781095
15,598.0,1.0,-53.007,26.88,21.215051213416842,-0.907965782375129,0.0,4.902,2.128,1.511,0.0,1.0,304.5363401552682
16,598.0,1.0,-32.241,26.958,20.299587442154547,-0.9527334481021512,0.229,4.902,2.128,1.511,0.0,1.0,325.30242584464463
17,598.0,1.0,-12.408,27.038,19.30958431721254,-0.9425045036287258,0.228,4.902,2.128,1.511,0.0,1.0,345.1355150395773
18,598.0,1.0,6.378,27.11,18.414578434897095,-0.7612506566188841,0.234,4.902,2.128,1.511,0.0,1.0,363.9215944790697
19,598.0,1.0,24.421,27.18,17.78708300397477,-0.5532481697697733,0.229,4.902,2.128,1.511,0.0,1.0,381.9646719093715
20,598.0,1.0,41.952,27.258,17.30808209535755,-0.351003695453727,0.231,4.902,2.128,1.511,0.0,0.0,399.49576048701925
21,598.0,1.0,59.037,27.326,17.085075613067318,-0.22300648229023068,0.333,4.902,2.128,1.511,0.0,0.0,416.5808361000866
4,601.0,4.0,-353.317,36.997,30.8699978279381,-0.3569843140688569,-0.358,4.605,1.932,1.855,0.0,0.0,4.240127400290353
5,601.0,4.0,-322.447,37.016,30.513013513869243,-0.580735784647711,0.093,4.605,1.932,1.855,0.0,0.0,35.110125228228455
6,601.0,4.0,-292.291,37.058,29.708526258642678,-0.8854938642971266,0.06,4.605,1.932,1.855,0.0,0.0,65.26615442802884
7,601.0,4.0,-263.03,37.095,28.74202578527499,-1.0372504102007092,0.127,4.605,1.932,1.855,0.0,1.0,94.52717774551381
8,601.0,4.0,-234.807,37.135,27.63402543824126,-1.1555013068331235,0.127,4.605,1.932,1.855,0.0,1.0,122.75020599857882
9,601.0,4.0,-207.762,37.17,26.431023171608743,-1.18950060833836,0.0,4.605,1.932,1.855,0.0,1.0,149.79522862199633
10,601.0,4.0,-181.945,37.205,25.25502422156454,-1.1212506692733157,0.127,4.605,1.932,1.855,0.0,1.0,175.6122523417963
11,601.0,4.0,-157.252,37.24,24.18852183306211,-1.017252432473775,0.004,4.605,1.932,1.855,0.0,1.0,200.3052770651254
12,601.0,4.0,-133.568,37.27,23.22051935661699,-0.9554998150497767,0.0,4.605,1.932,1.855,0.0,1.0,223.98929600792053
13,601.0,4.0,-110.811,37.3,22.277522202962558,-1.119748499161112,0.0,4.605,1.932,1.855,0.0,0.0,246.7463157783594
14,601.0,4.0,-89.013,37.333,20.981022358294766,-1.056751060929642,0.08,4.605,1.932,1.855,0.0,0.0,268.54434041384565
15,601.0,4.0,-68.849,37.3615,20.164020081103274,-0.7584862940879376,0.16449999999999998,4.605,1.932,1.855,0.0,0.0,288.7083604949489
16,601.0,4.0,-48.685,37.39,19.46404977011889,-0.8544681686270792,0.249,4.605,1.932,1.855,0.0,0.0,308.8723805760522
17,601.0,4.0,-29.921,37.462,18.455083743849116,-0.7704834437838031,0.207,4.605,1.932,1.855,0.0,0.0,327.6364600351867
18,601.0,4.0,-11.775,37.54,17.923082882551284,-0.43500295231800123,0.254,4.605,1.932,1.855,0.0,0.0,345.7825480637504
19,601.0,4.0,5.925,37.61,17.585077839213113,-0.20775248707231242,0.254,4.605,1.932,1.855,0.0,0.0,363.48262580028927
20,601.0,4.0,23.395,37.68,17.50757790840666,-0.008499992411003632,0.254,4.605,1.932,1.855,0.0,0.0,380.95270374217665
21,601.0,4.0,40.94,37.75,17.568077854391106,0.04174996272480769,0.248,4.605,1.932,1.855,0.0,0.0,398.4977816171026
22,601.0,4.0,58.531,37.82,17.591077833856275,0.022999979465168963,0.254,4.605,1.932,1.855,0.0,0.0,416.08885945095886
4,602.0,2.0,-351.365,29.995,31.058008350310313,-0.18798914192760563,-0.206,8.468,2.891,3.827,0.0,0.0,6.1827690404361455
5,602.0,2.0,-320.307,30.022,30.870019208382708,-0.2712400698087283,0.101,8.468,2.891,3.827,0.0,1.0,37.24077739074646
6,602.0,2.0,-289.625,30.065,30.515528210692857,-0.34874634793471415,0.068,8.468,2.891,3.827,0.0,1.0,67.92280745720156
7,602.0,2.0,-259.276,30.105,30.17252651251328,-0.6082514613591847,0.068,8.468,2.891,3.827,0.0,1.0,98.27183381213217
8,602.0,2.0,-229.28,30.145,29.299025287974487,-1.672751847230547,0.068,8.468,2.891,3.827,0.0,1.0,128.26786048222812
9,602.0,2.0,-200.678,30.182,26.827022818052185,-2.7400022306466525,0.103,8.468,2.891,3.827,0.0,1.0,156.86988438808115
10,602.0,2.0,-175.626,30.215,23.819020826681182,-2.3300012604248863,0.068,8.468,2.891,3.827,0.0,1.0,181.9219061183325
11,602.0,2.0,-153.04,30.245,22.167020297202413,-1.2232499100668193,0.068,8.468,2.891,3.827,0.0,1.0,204.5079260414435
12,602.0,2.0,-131.292,30.275,21.372521006547544,-0.742500339289812,0.068,8.468,2.891,3.827,0.0,1.0,226.2559467127373
13,602.0,2.0,-110.295,30.305,20.68201961862279,-0.6477520942317057,0.068,8.468,2.891,3.827,0.0,1.0,247.2529680545386
14,602.0,2.0,-89.928,30.332,20.077016818084132,-0.5882498088683477,0.08,8.468,2.891,3.827,0.0,1.0,267.6199859499829
15,602.0,2.0,-70.141,30.357,19.505520000886094,-0.5467341446563267,0.045,8.468,2.891,3.827,0.0,1.0,287.40700169070686
16,602.0,2.0,-50.917,30.388,18.98354852877148,-0.4699708504023761,0.113,8.468,2.891,3.827,0.0,1.0,306.6310259517551
17,602.0,2.0,-32.174,30.455,18.56557830008134,-0.3717322964831027,0.203,8.468,2.891,3.827,0.0,1.0,325.3740987482498
18,602.0,2.0,-13.786,30.53,18.240083935805274,-0.18049883663772448,0.271,8.468,2.891,3.827,0.0,1.0,343.76218255191776
19,602.0,2.0,4.306,30.605,18.204580626805893,0.20174915173475938,0.208,8.468,2.891,3.827,0.0,1.0,361.85426661986037
20,602.0,2.0,22.623,30.675,18.643582239274792,0.5665038371205497,0.204,8.468,2.891,3.827,0.0,0.0,380.17134380552955
21,602.0,2.0,41.593,30.753,19.337588301046992,0.5307535349693921,0.226,8.468,2.891,3.827,0.0,0.0,399.14143109840995
22,602.0,2.0,61.298,30.833,19.705089309213577,0.3675010081665846,0.227,8.468,2.891,3.827,0.0,0.0,418.84652040762353
5,606.0,1.0,-343.967,26.487,29.930026729022032,-0.6755007331782004,0.064,4.902,2.128,1.511,0.0,0.0,13.576074772877325
6,606.0,1.0,-314.037,26.527,29.25452599584383,-0.986499787372404,0.06,4.902,2.128,1.511,0.0,0.0,43.50610150189936
7,606.0,1.0,-285.458,26.565,27.957027154277224,-1.2407498944424535,0.117,4.902,2.128,1.511,0.0,0.0,72.08512676456499
8,606.0,1.0,-258.123,26.605,26.773026206958924,-1.1285016650086934,0.117,4.902,2.128,1.511,0.0,0.0,99.4201558104538
9,606.0,1.0,-231.912,26.64,25.700023824259837,-0.9510024916230648,0.01,4.902,2.128,1.511,0.0,0.0,125.63117917848284
10,606.0,1.0,-206.723,26.675,24.871021223712795,-0.4462516059959576,0.117,4.902,2.128,1.511,0.0,0.0,150.82020345897348
11,606.0,1.0,-182.17,26.705,24.807520612267922,-0.0947495813359076,0.117,4.902,2.128,1.511,0.0,0.0,175.37322162590843
12,606.0,1.0,-157.108,26.739,24.68152206104098,-0.4724989100038499,0.012,4.902,2.128,1.511,0.0,0.0,200.43524468350932
13,606.0,1.0,-132.807,26.771,23.862522792260222,-0.8482495767352631,0.017,4.902,2.128,1.511,0.0,0.0,224.7362657479904
14,606.0,1.0,-109.383,26.805,22.985022907570453,-0.8737512243156118,0.117,4.902,2.128,1.511,0.0,0.0,248.16029026802977
15,606.0,1.0,-86.837,26.836,22.115020343629,-0.873997883397891,0.08,4.902,2.128,1.511,0.0,0.0,270.7063115631313
16,606.0,1.0,-65.153,26.865,21.23702714077467,-0.911729141804912,0.11,4.902,2.128,1.511,0.0,0.0,292.39033095528777
17,606.0,1.0,-44.363,26.905,20.291562060019174,-0.91597045220486,0.229,4.902,2.128,1.511,0.0,0.0,313.18036584468064
18,606.0,1.0,-24.57,26.985,19.40508623636495,-0.7819876093845011,0.228,4.902,2.128,1.511,0.0,0.0,332.9734550753261
19,606.0,1.0,-5.553,27.06,18.727586841250172,-0.6110011248344875,0.234,4.902,2.128,1.511,0.0,0.0,351.99053831741054
20,606.0,1.0,12.885,27.14,18.183083986695976,-0.5157545505699943,0.234,4.902,2.128,1.511,0.0,0.0,370.42862875782646
21,606.0,1.0,30.813,27.21,17.696077740110184,-0.4550029344615609,0.234,4.902,2.128,1.511,0.0,0.0,388.3567062908025
22,606.0,1.0,48.277,27.28,17.273078117772855,-0.3069997259044044,0.234,4.902,2.128,1.511,0.0,0.0,405.8207842380468
23,606.0,1.0,65.359,27.35,17.082078288301375,-0.19099982947147964,0.234,4.902,2.128,1.511,0.0,0.0,422.9028625263482
6,611.0,3.0,-351.552,33.49,30.919012483245645,-0.29249305746136045,-0.234,4.902,2.128,1.511,0.0,0.0,6.000439498261875
7,611.0,3.0,-320.633,33.52,30.626519425784284,-0.4222426075485757,0.0,4.902,2.128,1.511,0.0,0.0,36.91945198150752
8,611.0,3.0,-290.299,33.56,30.074527268148493,-0.7332463387150536,0.0,4.902,2.128,1.511,0.0,0.0,67.25347834983044
9,611.0,3.0,-260.484,33.601,29.160026748354177,-1.352501130947676,0.02,4.902,2.128,1.511,0.0,0.0,97.06850651780451
10,611.0,3.0,-231.979,33.639,27.36952500625314,-1.3440014726060703,0.017,4.902,2.128,1.511,0.0,0.0,125.5735318465388
11,611.0,3.0,-205.745,33.675,26.472023803142037,-0.5290008639762434,0.117,4.902,2.128,1.511,0.0,0.0,151.8075565303108
12,611.0,3.0,-179.035,33.71,26.311523278300655,-0.6202514506453483,0.0,4.902,2.128,1.511,0.0,0.0,178.51757945282287
13,611.0,3.0,-153.122,33.745,25.23152090185134,-1.1567499694392964,0.117,4.902,2.128,1.511,0.0,0.0,204.4306030869121
14,611.0,3.0,-128.572,33.775,23.998023339422062,-1.1347483187341112,0.117,4.902,2.128,1.511,0.0,0.0,228.98062125652555
15,611.0,3.0,-105.126,33.812,22.962024264383118,-0.9747534726269507,0.051,4.902,2.128,1.511,0.0,0.0,252.42664976575622
16,611.0,3.0,-82.648,33.842,22.04851639416816,-0.8589955583040947,0.08,4.902,2.128,1.511,0.0,0.0,274.9046697852918
17,611.0,3.0,-61.029,33.866,21.24403314777493,-0.7522219346818133,0.097,4.902,2.128,1.511,0.0,0.0,296.52368255409255
18,611.0,3.0,-40.16,33.92,20.544072524804534,-0.5932210744317956,0.234,4.902,2.128,1.511,0.0,0.0,317.39273608084164
19,611.0,3.0,-19.941,34.002,20.057590998911337,-0.3924916319016205,0.228,4.902,2.128,1.511,0.0,0.0,337.6118276037016
20,611.0,3.0,-0.045,34.083,19.759089261001293,-0.3017517350083665,0.228,4.902,2.128,1.511,0.0,0.0,357.5079180786643
21,611.0,3.0,19.577,34.162,19.454087528894604,-0.3052503956057251,0.228,4.902,2.128,1.511,0.0,0.0,377.1300061257042
22,611.0,3.0,38.863,34.24,19.148588469789843,-0.22149880003212274,0.234,4.902,2.128,1.511,0.0,0.0,396.4160931364535
23,611.0,3.0,57.874,34.32,19.01108992883036,-0.13749854095948422,0.234,4.902,2.128,1.511,0.0,0.0,415.4271830652839
6,612.0,2.0,-352.277,29.99,29.77400949669064,-0.6854920384443766,-0.288,3.988,1.851,1.617,0.0,0.0,5.270763173298669
7,612.0,2.0,-322.503,30.017,29.088517458246262,-0.7942412732113393,0.076,3.988,1.851,1.617,0.0,0.0,35.04477266998931
8,612.0,2.0,-294.1,30.055,28.18552695026796,-0.7907459533084502,0.144,3.988,1.851,1.617,0.0,0.0,63.44779808979119
9,612.0,2.0,-266.132,30.095,27.50702555162936,-0.923001848483116,0.144,3.988,1.851,1.617,0.0,0.0,91.41582657052523
10,612.0,2.0,-239.086,30.13,26.339523253301728,-1.058252061798722,0.0,3.988,1.851,1.617,0.0,0.0,118.46184919304991
11,612.0,2.0,-213.453,30.165,25.390521428031917,-0.6700010721581329,0.144,3.988,1.851,1.617,0.0,0.0,144.09487307712868
12,612.0,2.0,-188.305,30.196,24.999521108985462,-0.40874863285166185,0.127,3.988,1.851,1.617,0.0,0.0,169.24289204911375
13,612.0,2.0,-163.454,30.23,24.573024162328593,-0.5182495372962634,0.0,3.988,1.851,1.617,0.0,0.0,194.0939152950996
14,612.0,2.0,-139.159,30.265,23.963022034392935,-0.6042514649304636,0.144,3.988,1.851,1.617,0.0,0.0,218.38894037377094
